,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
327,Kill Bill: Vol. 2,2004,137,8.0,83.0,786807,66.21
328,Before Sunrise,1995,101,8.1,77.0,328867,5.54
329,Blue Velvet,1986,120,7.7,76.0,210071,8.55
330,The Bourne Identity,2002,119,7.8,68.0,565980,121.66
331,Lawrence of Arabia,1962,218,8.3,100.0,306530,44.82
332,Spotlight,2015,129,8.1,93.0,490755,45.06
333,It's a Wonderful Life,1946,130,8.6,89.0,480383,
334,Downfall,2004,156,8.2,82.0,367841,5.51
335,Silver Linings Playbook,2012,122,7.7,81.0,730159,132.09
336,In Bruges,2008,107,7.9,67.0,451770,7.76
337,Let the Right One In,2008,114,7.8,82.0,223476,2.12
338,12 Years a Slave,2013,134,8.1,96.0,726713,56.67
339,The Great Escape,1963,172,8.2,86.0,253639,12.1
340,Platoon,1986,120,8.1,92.0,429559,138.53
341,The Name of the Rose,1986,130,7.7,54.0,113911,7.15
342,The Ten Commandments,1956,220,7.9,,75279,93.74
343,The Last Samurai,2003,154,7.8,55.0,459802,111.11
344,Scent of a Woman,1992,156,8.0,59.0,318535,63.9
345,A Star Is Born,2018,136,7.6,88.0,406657,215.29
346,Gone with the Wind,1939,238,8.2,97.0,327351,198.68
347,Aladdin,1992,90,8.0,86.0,450422,217.35
348,Groundhog Day,1993,101,8.0,72.0,664410,70.91
349,Deliverance,1972,109,7.7,80.0,116775,7.06
350,End of Watch,2012,109,7.6,68.0,262013,41.0
351,The Boondock Saints,1999,108,7.7,44.0,246297,0.03
352,Back to the Future Part II,1989,108,7.8,57.0,558907,118.5
353,The Holy Mountain,1973,114,7.8,76.0,46511,0.06
354,Raging Bull,1980,129,8.1,90.0,370317,23.38
355,I Saw the Devil,2010,144,7.8,67.0,141080,0.13
356,Soul,2020,100,8.0,83.0,359337,
357,The Pursuit of Happyness,2006,117,8.0,64.0,544213,163.57
358,Kick-Ass,2010,117,7.6,66.0,583121,48.07
359,Once Upon a Time in the West,1968,165,8.5,82.0,342451,5.32
360,OMG: Oh My God!,2012,125,8.1,,63335,0.92
361,Close,2022,104,7.8,81.0,28941,
362,Unforgiven,1992,130,8.2,85.0,427310,101.16
363,Seven Samurai,1954,207,8.6,98.0,359006,0.27
364,Dawn of the Dead,1978,127,7.8,71.0,125892,5.1
365,True Grit,2010,110,7.6,80.0,351659,171.24
366,Despicable Me,2010,95,7.6,72.0,569889,251.51
367,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87.0,653820,42.34
368,X-Men: First Class,2011,131,7.7,65.0,712588,146.41
369,Apollo 13,1995,140,7.7,77.0,308065,173.84
370,Argo,2012,120,7.7,86.0,630569,136.03
371,Princess Mononoke,1997,134,8.3,76.0,417409,2.38
372,X-Men: Days of Future Past,2014,132,7.9,75.0,733386,233.92
373,The Royal Tenenbaums,2001,110,7.6,76.0,307285,52.36
374,Big Hero 6,2014,102,7.8,74.0,487361,222.53
375,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,507869,0.28
376,Magnolia,1999,188,8.0,78.0,323305,22.46
377,The Bourne Ultimatum,2007,115,8.0,85.0,650192,227.47
378,The Invisible Guest,2016,106,8.0,,187219,
379,Blood Diamond,2006,143,8.0,64.0,573306,57.37
380,Perfect Blue,1997,81,8.0,67.0,88645,0.78
381,Boyz n the Hood,1991,112,7.8,76.0,149634,57.5
382,My Cousin Vinny,1992,120,7.6,68.0,135962,52.93
383,High Noon,1952,85,8.0,89.0,108335,9.45
384,Nosferatu,1922,94,7.9,,102646,
385,Vertigo,1958,128,8.3,100.0,417761,3.2
386,Chinatown,1974,130,8.2,92.0,340985,
387,Capernaum,2018,126,8.4,75.0,99782,1.66
388,Cast Away,2000,143,7.8,73.0,621999,233.63
389,The Secret in Their Eyes,2009,129,8.2,80.0,217711,6.39
390,Captain America: Civil War,2016,147,7.8,75.0,828676,408.08
391,The Thin Red Line,1998,170,7.6,78.0,195826,36.4
392,Crash,2004,112,7.7,66.0,445121,54.58
393,Monty Python and the Holy Grail,1975,91,8.2,91.0,559688,1.23
394,The Lego Movie,2014,100,7.7,83.0,379182,257.76
395,After Hours,1985,97,7.6,90.0,76760,10.6
396,The Caine Mutiny,1954,124,7.7,63.0,29163,21.75
397,Another Round,2020,117,7.7,79.0,182332,
398,Portrait of a Lady on Fire,2019,122,8.1,95.0,103303,3.76
399,Rain Man,1988,133,8.0,65.0,534903,178.8
400,Toy Story 4,2019,100,7.7,84.0,270041,434.04
401,As Good as It Gets,1997,139,7.7,67.0,311974,148.48
402,Marriage Story,2019,137,7.9,94.0,333756,2.0
403,Some Like It Hot,1959,121,8.2,98.0,277638,25.0
404,Beauty and the Beast,1991,84,8.0,95.0,471245,218.97
405,Vikram,2022,175,8.3,,67487,
406,The Graduate,1967,106,8.0,83.0,283900,104.95
407,Moonrise Kingdom,2012,94,7.8,84.0,362211,45.51
408,The King of Comedy,1982,109,7.8,73.0,113535,2.5
409,Citizen Kane,1941,119,8.3,100.0,457317,1.59
410,Captain America: The Winter Soldier,2014,136,7.8,70.0,881297,259.77
411,Mulan,1998,87,7.6,71.0,306418,120.62
412,Akira,1988,124,8.0,67.0,198355,0.55
413,Empire of the Sun,1987,153,7.7,62.0,131827,22.24
414,Gravity,2013,91,7.7,96.0,849548,274.09
415,Who Framed Roger Rabbit,1988,104,7.7,83.0,211730,156.45
416,In the Mood for Love,2000,98,8.1,87.0,161131,2.73
417,Primal Fear,1996,129,7.7,47.0,239295,56.12
418,Captain Fantastic,2016,118,7.8,72.0,229430,5.88
419,To Kill a Mockingbird,1962,129,8.3,88.0,326912,
420,The Fall,2006,117,7.8,64.0,115298,2.28
421,"O Brother, Where Art Thou?",2000,107,7.7,69.0,324251,45.51
422,Metropolis,1927,153,8.3,98.0,181337,1.24
423,Sound of Metal,2019,120,7.7,82.0,142852,
424,Chungking Express,1994,102,8.0,78.0,91292,0.6
425,Dogville,2003,178,8.0,61.0,155451,1.53
426,"Paris, Texas",1984,145,8.1,81.0,113756,2.18
427,Dallas Buyers Club,2013,117,7.9,77.0,508534,27.3
428,Jujutsu Kaisen 0,2021,112,7.8,71.0,29465,34.54
429,The King's Speech,2010,118,8.0,88.0,698500,138.8
430,The Remains of the Day,1993,134,7.8,86.0,80975,22.95
431,Life of Pi,2012,127,7.9,79.0,654117,124.99
432,Eastern Promises,2007,100,7.6,83.0,255143,17.11
433,The Man from Earth,2007,87,7.8,,195524,
434,Sense and Sensibility,1995,136,7.7,84.0,122304,43.18
435,Das Boot,1981,149,8.4,86.0,259421,11.49
436,Serenity,2005,119,7.8,74.0,302571,25.51
437,Gran Torino,2008,116,8.1,72.0,800029,148.1
438,My Neighbor Totoro,1988,86,8.1,86.0,363320,1.11
439,Gattaca,1997,106,7.7,64.0,316607,12.34
440,Donnie Brasco,1997,127,7.7,76.0,323524,41.91
441,Barry Lyndon,1975,185,8.1,89.0,177674,
